index,x,y,sten
40,1.000,4.000,south
483,1.100,4.000,south
484,1.200,4.000,south
485,1.300,4.000,south
486,1.400,4.000,south
487,1.500,4.000,south
488,1.600,4.000,south
489,1.700,4.000,south
490,1.800,4.000,south
491,1.900,4.000,south
101,2.000,4.000,south
492,2.100,4.000,south
493,2.200,4.000,south
494,2.300,4.000,south
495,2.400,4.000,south
496,2.500,4.000,south
497,2.600,4.000,south
498,2.700,4.000,south
499,2.800,4.000,south
500,2.900,4.000,south
162,3.000,4.000,south
162,3.000,4.000,east
163,3.000,4.100,east
164,3.000,4.200,east
165,3.000,4.300,east
166,3.000,4.400,east
167,3.000,4.500,east
168,3.000,4.600,east
169,3.000,4.700,east
170,3.000,4.800,east
171,3.000,4.900,east
172,3.000,5.000,east
50,1.000,5.000,north
539,1.100,5.000,north
540,1.200,5.000,north
541,1.300,5.000,north
542,1.400,5.000,north
543,1.500,5.000,north
544,1.600,5.000,north
545,1.700,5.000,north
546,1.800,5.000,north
547,1.900,5.000,north
111,2.000,5.000,north
548,2.100,5.000,north
549,2.200,5.000,north
550,2.300,5.000,north
551,2.400,5.000,north
552,2.500,5.000,north
553,2.600,5.000,north
554,2.700,5.000,north
555,2.800,5.000,north
556,2.900,5.000,north
172,3.000,5.000,north
40,1.000,4.000,west
41,1.000,4.100,west
42,1.000,4.200,west
43,1.000,4.300,west
44,1.000,4.400,west
45,1.000,4.500,west
46,1.000,4.600,west
47,1.000,4.700,west
48,1.000,4.800,west
49,1.000,4.900,west
50,1.000,5.000,west
