index,x,y,sten
203,4.000,2.000,south
398,4.100,2.000,south
399,4.200,2.000,south
400,4.300,2.000,south
401,4.400,2.000,south
402,4.500,2.000,south
403,4.600,2.000,south
404,4.700,2.000,south
405,4.800,2.000,south
406,4.900,2.000,south
264,5.000,2.000,south
264,5.000,2.000,east
265,5.000,2.100,east
266,5.000,2.200,east
267,5.000,2.300,east
268,5.000,2.400,east
269,5.000,2.500,east
270,5.000,2.600,east
271,5.000,2.700,east
272,5.000,2.800,east
273,5.000,2.900,east
274,5.000,3.000,east
275,5.000,3.100,east
276,5.000,3.200,east
277,5.000,3.300,east
278,5.000,3.400,east
279,5.000,3.500,east
280,5.000,3.600,east
281,5.000,3.700,east
282,5.000,3.800,east
283,5.000,3.900,east
284,5.000,4.000,east
223,4.000,4.000,north
510,4.100,4.000,north
511,4.200,4.000,north
512,4.300,4.000,north
513,4.400,4.000,north
514,4.500,4.000,north
515,4.600,4.000,north
516,4.700,4.000,north
517,4.800,4.000,north
518,4.900,4.000,north
284,5.000,4.000,north
203,4.000,2.000,west
204,4.000,2.100,west
205,4.000,2.200,west
206,4.000,2.300,west
207,4.000,2.400,west
208,4.000,2.500,west
209,4.000,2.600,west
210,4.000,2.700,west
211,4.000,2.800,west
212,4.000,2.900,west
213,4.000,3.000,west
214,4.000,3.100,west
215,4.000,3.200,west
216,4.000,3.300,west
217,4.000,3.400,west
218,4.000,3.500,west
219,4.000,3.600,west
220,4.000,3.700,west
221,4.000,3.800,west
222,4.000,3.900,west
223,4.000,4.000,west
