index,x,y,sten
20,1.000,2.000,south
371,1.100,2.000,south
372,1.200,2.000,south
373,1.300,2.000,south
374,1.400,2.000,south
375,1.500,2.000,south
376,1.600,2.000,south
377,1.700,2.000,south
378,1.800,2.000,south
379,1.900,2.000,south
81,2.000,2.000,south
81,2.000,2.000,east
82,2.000,2.100,east
83,2.000,2.200,east
84,2.000,2.300,east
85,2.000,2.400,east
86,2.000,2.500,east
87,2.000,2.600,east
88,2.000,2.700,east
89,2.000,2.800,east
90,2.000,2.900,east
91,2.000,3.000,east
92,2.000,3.100,east
93,2.000,3.200,east
94,2.000,3.300,east
95,2.000,3.400,east
96,2.000,3.500,east
97,2.000,3.600,east
98,2.000,3.700,east
99,2.000,3.800,east
100,2.000,3.900,east
101,2.000,4.000,east
40,1.000,4.000,north
483,1.100,4.000,north
484,1.200,4.000,north
485,1.300,4.000,north
486,1.400,4.000,north
487,1.500,4.000,north
488,1.600,4.000,north
489,1.700,4.000,north
490,1.800,4.000,north
491,1.900,4.000,north
101,2.000,4.000,north
20,1.000,2.000,west
21,1.000,2.100,west
22,1.000,2.200,west
23,1.000,2.300,west
24,1.000,2.400,west
25,1.000,2.500,west
26,1.000,2.600,west
27,1.000,2.700,west
28,1.000,2.800,west
29,1.000,2.900,west
30,1.000,3.000,west
31,1.000,3.100,west
32,1.000,3.200,west
33,1.000,3.300,west
34,1.000,3.400,west
35,1.000,3.500,west
36,1.000,3.600,west
37,1.000,3.700,west
38,1.000,3.800,west
39,1.000,3.900,west
40,1.000,4.000,west
